,ID_t,S_1_unitar,S_1_flag,lat_t,lon_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols
0,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,43.0,51.75,-116.25,0.0625,43,0.001325868055556,0.095376661005098,0.02121388888889,0.095376661005098,0.075570464485738,215.0,93.0
1,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,36.0,51.75,-116.5,0.0625,36,0.012246701388889,0.880969627335409,0.195947222222226,0.880969627335409,0.974471259445456,214.0,93.0
2,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,44.0,51.5,-116.25,0.0625,44,5.0173611111e-05,0.003609251673493,0.000802777777778,0.003609251673493,0.000909150966248,215.0,94.0
3,1,107.0124669866703,0,51.6657032004529,-116.44419530755665,0.013901388888889,1,37.0,51.5,-116.5,0.0625,37,0.000278645833333,0.020044459985999,0.00445833333333,0.020044459985999,0.032037846577621,214.0,94.0
4,2,50.92933897927326,0,51.67071036244054,-116.30432322278199,0.006616666666667,2,43.0,51.75,-116.25,0.0625,43,0.006616666666667,1.0,0.105866666666666,1.0,0.377129964970579,215.0,93.0
5,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,43.0,51.75,-116.25,0.0625,43,0.007304513888889,0.854745652527259,0.11687222222223,0.854745652527259,0.416335173860551,215.0,93.0
6,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,50.0,51.75,-116.0,0.0625,50,0.000940277777778,0.11002762879895,0.015044444444443,0.11002762879895,0.356761741650684,216.0,93.0
7,3,65.79137203163639,0,51.66166883363126,-116.17610386532309,0.008545833333334,3,44.0,51.5,-116.25,0.0625,44,0.000301041666666,0.035226718673791,0.004816666666663,0.035226718673791,0.005454905797485,215.0,94.0
8,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,43.0,51.75,-116.25,0.0625,43,8.506944444e-06,0.002561154087394,0.000136111111111,0.002561154087394,0.000484870074611,215.0,93.0
9,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,50.0,51.75,-116.0,0.0625,50,0.0016953125,0.510401421701972,0.027125000000006,0.510401421701972,0.643238258349316,216.0,93.0
10,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,51.0,51.5,-116.0,0.0625,51,0.001557465277777,0.468900271795852,0.024919444444439,0.468900271795852,0.049199837664107,216.0,94.0
11,4,25.59130797430908,0,51.62579151857267,-116.08858700954771,0.003321527777778,4,44.0,51.5,-116.25,0.0625,44,6.0243055555e-05,0.018137152414781,0.000963888888888,0.018137152414781,0.001091610329715,215.0,94.0
12,5,56.83543144744057,0,51.59767724817888,-116.22440490768652,0.007372222222222,5,43.0,51.75,-116.25,0.0625,43,0.001095486111112,0.148596458176397,0.017527777777785,0.148596458176397,0.062439391240695,215.0,93.0
13,5,56.83543144744057,0,51.59767724817888,-116.22440490768652,0.007372222222222,5,44.0,51.5,-116.25,0.0625,44,0.006276736111111,0.851403541823604,0.100427777777773,0.851403541823603,0.113735100462749,215.0,94.0
14,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,37.0,51.5,-116.5,0.0625,37,0.007175347222222,0.773622342018521,0.11480555555555,0.77362234201852,0.82499950096814,214.0,94.0
15,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,36.0,51.75,-116.5,0.0625,36,0.000320833333334,0.034591194968609,0.005133333333342,0.034591194968609,0.025528740554544,214.0,93.0
16,6,71.51295792421554,0,51.59238669262257,-116.4137831935709,0.009275,6,44.0,51.5,-116.25,0.0625,44,0.001778819444444,0.191786463012871,0.02846111111111,0.191786463012871,0.032232390312036,215.0,94.0
17,7,48.068860239410455,0,51.538594011375025,-116.09591279134612,0.006227083333334,7,44.0,51.5,-116.25,0.0625,44,0.000782986111111,0.125738820118224,0.012527777777779,0.125738820118224,0.014187788435224,215.0,94.0
18,7,48.068860239410455,0,51.538594011375025,-116.09591279134612,0.006227083333334,7,51.0,51.5,-116.0,0.0625,51,0.005444097222222,0.874261179881776,0.087105555555557,0.874261179881776,0.171977316851121,216.0,94.0
19,8,70.70905354766677,0,51.48127416375678,-116.31755357775405,0.009148611111111,8,44.0,51.5,-116.25,0.0625,44,0.007905208333333,0.864088355852447,0.126483333333333,0.864088355852444,0.143243183727141,215.0,94.0
20,8,70.70905354766677,0,51.48127416375678,-116.31755357775405,0.009148611111111,8,37.0,51.5,-116.5,0.0625,37,0.001243402777778,0.135911644147557,0.019894444444443,0.135911644147556,0.142962652454239,214.0,94.0
21,9,65.10083996473467,0,51.46184022049939,-116.01221626525908,0.008419444444444,9,51.0,51.5,-116.0,0.0625,51,0.008419444444444,1.0,0.134711111111111,1.0,0.265967598635494,216.0,94.0
22,10,27.933849104431616,0,51.397573628488985,-115.99937022778303,0.003607638888889,10,52.0,51.25,-116.0,0.0625,52,0.000656944444444,0.18209817131851,0.010511111111107,0.18209817131851,0.013393457593278,216.0,95.0
23,10,27.933849104431616,0,51.397573628488985,-115.99937022778303,0.003607638888889,10,51.0,51.5,-116.0,0.0625,51,0.002950694444445,0.81790182868149,0.047211111111112,0.81790182868149,0.093211508297777,216.0,94.0
24,11,30.424569612252466,0,51.452937628714444,-116.11320667843498,0.003934027777778,11,44.0,51.5,-116.25,0.0625,44,0.001132986111111,0.287996469549866,0.018127777777778,0.287996469549867,0.020529824241299,215.0,94.0
25,11,30.424569612252466,0,51.452937628714444,-116.11320667843498,0.003934027777778,11,51.0,51.5,-116.0,0.0625,51,0.002801041666667,0.712003530450133,0.044816666666667,0.712003530450133,0.088484024174883,216.0,94.0
26,12,30.687636424888915,0,51.396483558203364,-116.254430231879,0.003963194444444,12,45.0,51.25,-116.25,0.0625,45,0.000478125,0.120641317679972,0.007649999999995,0.120641317679972,0.036626723943004,215.0,95.0
27,12,30.687636424888915,0,51.396483558203364,-116.254430231879,0.003963194444444,12,44.0,51.5,-116.25,0.0625,44,0.003485069444444,0.879358682320028,0.055761111111112,0.879358682320028,0.063149814866664,215.0,94.0
28,13,123.10121078710958,0,51.337355303825625,-115.87135055837435,0.015877777777778,13,51.0,51.5,-116.0,0.0625,51,0.003264930555556,0.205628936319119,0.052238888888892,0.20562893631912,0.10313812809179,216.0,94.0
29,13,123.10121078710958,0,51.337355303825625,-115.87135055837435,0.015877777777778,13,59.0,51.25,-115.75,0.0625,59,0.008205208333333,0.516773093072063,0.131283333333329,0.516773093072063,0.158987849348054,217.0,95.0
30,13,123.10121078710958,0,51.337355303825625,-115.87135055837435,0.015877777777778,13,52.0,51.25,-116.0,0.0625,52,0.004407638888889,0.277597970608817,0.070522222222222,0.277597970608817,0.089860756178193,216.0,95.0
31,14,37.456959230433476,0,51.36395094095677,-116.23004728726731,0.004834027777778,14,45.0,51.25,-116.25,0.0625,45,0.003273611111111,0.677201551501148,0.052377777777772,0.677201551501148,0.250774693779829,215.0,95.0
32,14,37.456959230433476,0,51.36395094095677,-116.23004728726731,0.004834027777778,14,44.0,51.5,-116.25,0.0625,44,0.001560416666667,0.322798448498852,0.024966666666672,0.322798448498852,0.028274909635434,215.0,94.0
33,15,57.98097231752554,0,51.32445917703885,-116.18446057031402,0.007476388888889,15,45.0,51.25,-116.25,0.0625,45,0.007176736111111,0.95992011889283,0.114827777777781,0.95992011889283,0.549773244138306,215.0,95.0
34,15,57.98097231752554,0,51.32445917703885,-116.18446057031402,0.007476388888889,15,52.0,51.25,-116.0,0.0625,52,0.000299652777778,0.04007988110717,0.004794444444442,0.04007988110717,0.00610917225317,216.0,95.0
35,16,93.33141750026856,0,51.27375469354751,-115.7018512313946,0.012021527777778,16,59.0,51.25,-115.75,0.0625,59,0.011810763888889,0.982467795043622,0.188972222222224,0.982467795043622,0.228850734017786,217.0,95.0
36,16,93.33141750026856,0,51.27375469354751,-115.7018512313946,0.012021527777778,16,66.0,51.25,-115.5,0.0625,66,0.000210763888889,0.017532204956378,0.003372222222221,0.017532204956378,0.021245690484931,218.0,95.0
37,17,77.50658197268143,0,51.241999976797,-116.01904380713711,0.009976388888889,17,45.0,51.25,-116.25,0.0625,45,0.000821875,0.082382013086468,0.013150000000002,0.082382013086467,0.062959662725605,215.0,95.0
38,17,77.50658197268143,0,51.241999976797,-116.01904380713711,0.009976388888889,17,52.0,51.25,-116.0,0.0625,52,0.009154513888889,0.917617986913535,0.146472222222218,0.917617986913533,0.186637689982512,216.0,95.0
39,18,31.697741876133875,0,51.255896716011584,-115.61448599058488,0.00408125,18,59.0,51.25,-115.75,0.0625,59,0.001544444444444,0.37842436617321,0.024711111111111,0.37842436617321,0.029925858148202,217.0,95.0
40,18,31.697741876133875,0,51.255896716011584,-115.61448599058488,0.00408125,18,66.0,51.25,-115.5,0.0625,66,0.002536805555556,0.62157563382679,0.04058888888889,0.62157563382679,0.255718310845106,218.0,95.0
41,19,26.857362737268478,0,51.14773634594737,-115.85318387681156,0.00345,19,52.0,51.25,-116.0,0.0625,52,0.000332118055556,0.096266103059584,0.005313888888889,0.096266103059584,0.006771058238888,216.0,95.0
42,19,26.857362737268478,0,51.14773634594737,-115.85318387681156,0.00345,19,60.0,51.0,-115.75,0.0625,60,0.000509895833333,0.147795893719753,0.008158333333331,0.147795893719754,0.023988826450595,217.0,96.0
43,19,26.857362737268478,0,51.14773634594737,-115.85318387681156,0.00345,19,59.0,51.25,-115.75,0.0625,59,0.002606076388889,0.755384460547554,0.041697222222227,0.755384460547555,0.050496521657229,217.0,95.0
44,19,26.857362737268478,0,51.14773634594737,-115.85318387681156,0.00345,19,53.0,51.0,-116.0,0.0625,53,1.909722222e-06,0.000553542673107,3.0555555555e-05,0.000553542673107,0.000655737704917,216.0,96.0
45,20,50.691906631079426,0,51.15346635743226,-115.96890550579374,0.0065125,20,53.0,51.0,-116.0,0.0625,53,0.000897569444444,0.137822563446324,0.014361111111107,0.137822563446324,0.308196721311437,216.0,96.0
46,20,50.691906631079426,0,51.15346635743226,-115.96890550579374,0.0065125,20,52.0,51.25,-116.0,0.0625,52,0.005614930555556,0.862177436553677,0.089838888888894,0.862177436553676,0.114474420053384,216.0,95.0
47,21,35.48685914400276,0,51.12454605497131,-115.90130455215166,0.00455625,21,53.0,51.0,-116.0,0.0625,53,0.002012847222222,0.441777168114589,0.032205555555553,0.44177716811459,0.691147540983646,216.0,96.0
48,21,35.48685914400276,0,51.12454605497131,-115.90130455215166,0.00455625,21,59.0,51.25,-115.75,0.0625,59,6.9444444444e-05,0.01524157902757,0.00111111111111,0.01524157902757,0.00134558714695,217.0,95.0
49,21,35.48685914400276,0,51.12454605497131,-115.90130455215166,0.00455625,21,52.0,51.25,-116.0,0.0625,52,0.002174652777778,0.477290047248943,0.034794444444447,0.477290047248944,0.044335742551132,216.0,95.0
50,21,35.48685914400276,0,51.12454605497131,-115.90130455215166,0.00455625,21,60.0,51.0,-115.75,0.0625,60,0.000299305555556,0.065691205608897,0.004788888888888,0.065691205608897,0.014081285938316,217.0,96.0
51,22,35.558875383565294,0,51.12230351891289,-115.59961679849917,0.004565277777778,22,67.0,51.0,-115.5,0.0625,67,0.0023234375,0.508936720413684,0.037174999999993,0.508936720413685,0.235065779073616,218.0,96.0
52,22,35.558875383565294,0,51.12230351891289,-115.59961679849917,0.004565277777778,22,60.0,51.0,-115.75,0.0625,60,0.000236631944444,0.051832978399729,0.003786111111109,0.051832978399729,0.011132710402503,217.0,96.0
53,22,35.558875383565294,0,51.12230351891289,-115.59961679849917,0.004565277777778,22,66.0,51.25,-115.5,0.0625,66,0.001742534722222,0.381693033161018,0.02788055555556,0.381693033161018,0.175653208729309,218.0,95.0
54,22,35.558875383565294,0,51.12230351891289,-115.59961679849917,0.004565277777778,22,59.0,51.25,-115.75,0.0625,59,0.000262673611111,0.057537268025568,0.004202777777779,0.057537268025569,0.005089683383345,217.0,95.0
55,23,65.96896382496796,0,51.106573299431254,-115.77731538440517,0.008466666666667,23,59.0,51.25,-115.75,0.0625,59,0.001614930555556,0.190739829396432,0.025838888888904,0.190739829396432,0.031291629102376,217.0,95.0
56,23,65.96896382496796,0,51.106573299431254,-115.77731538440517,0.008466666666667,23,60.0,51.0,-115.75,0.0625,60,0.00685173611111,0.809260170603567,0.109627777777764,0.809260170603568,0.322350365917387,217.0,96.0
57,24,36.3215347823274,0,51.059644224077914,-115.72337024058064,0.004656944444445,24,60.0,51.0,-115.75,0.0625,60,0.004656944444445,1.0,0.074511111111113,1.0,0.219093047569281,217.0,96.0
58,25,31.641691415599308,0,51.03585973625619,-115.66737554946616,0.004054861111111,25,67.0,51.0,-115.5,0.0625,67,3.125e-06,0.000770679910944,5e-05,0.000770679910944,0.000316161101646,218.0,96.0
59,25,31.641691415599308,0,51.03585973625619,-115.66737554946616,0.004054861111111,25,60.0,51.0,-115.75,0.0625,60,0.004051736111111,0.999229320089056,0.064827777777775,0.999229320089056,0.190620099320442,217.0,96.0
60,26,74.48828939730865,0,51.01642151868036,-115.59888355167413,0.009541666666667,26,60.0,51.0,-115.75,0.0625,60,0.001984027777778,0.207933042212537,0.031744444444448,0.207933042212537,0.093341610036607,217.0,96.0
61,26,74.48828939730865,0,51.01642151868036,-115.59888355167413,0.009541666666667,26,67.0,51.0,-115.5,0.0625,67,0.007557638888889,0.792066957787463,0.120922222222221,0.792066957787463,0.764618059824738,218.0,96.0
62,27,17.094724173106993,0,51.18994497103739,-115.90939494470764,0.002197916666667,27,52.0,51.25,-116.0,0.0625,52,0.002197916666667,1.0,0.03516666666667,1.0,0.044810035182607,216.0,95.0
63,28,32.08196751822735,0,51.4018479414558,-116.05402952349029,0.00414375,28,51.0,51.5,-116.0,0.0625,51,0.003456597222223,0.834171275347819,0.055305555555561,0.83417127534782,0.109192817734107,216.0,94.0
64,28,32.08196751822735,0,51.4018479414558,-116.05402952349029,0.00414375,28,52.0,51.25,-116.0,0.0625,52,0.000687152777777,0.16582872465218,0.01099444444444,0.16582872465218,0.014009330114745,216.0,95.0
65,29,25.139651095073123,0,51.600547629188,-116.14307211811474,0.003261111111111,29,43.0,51.75,-116.25,0.0625,43,0.0001375,0.042163543441221,0.0022,0.042163543441221,0.007837083654929,215.0,93.0
66,29,25.139651095073123,0,51.600547629188,-116.14307211811474,0.003261111111111,29,44.0,51.5,-116.25,0.0625,44,0.002203125,0.675574957410552,0.035249999999999,0.675574957410552,0.039920850386467,215.0,94.0
67,29,25.139651095073123,0,51.600547629188,-116.14307211811474,0.003261111111111,29,51.0,51.5,-116.0,0.0625,51,0.000920486111111,0.282261499148227,0.014727777777778,0.282261499148227,0.02907786638002,216.0,94.0
68,30,19.69020368190655,0,51.19584339001653,-115.84550009142451,0.002531944444444,30,52.0,51.25,-116.0,0.0625,52,0.000125694444444,0.049643444871086,0.002011111111111,0.049643444871086,0.002562596008863,216.0,95.0
69,30,19.69020368190655,0,51.19584339001653,-115.84550009142451,0.002531944444444,30,59.0,51.25,-115.75,0.0625,59,0.00240625,0.950356555128915,0.038500000000001,0.950356555128914,0.046624594641872,217.0,95.0
70,31,8.020691044098491,0,51.095951417004066,-115.65397885739998,0.001029166666667,31,60.0,51.0,-115.75,0.0625,60,0.001029166666667,1.0,0.016466666666667,1.0,0.048418714061687,217.0,96.0
71,32,0.51967862627117,0,51.5654467353952,-116.15334192439857,6.7361111111e-05,32,44.0,51.5,-116.25,0.0625,44,6.7361111111e-05,1.0,0.001077777777778,1.0,0.001220590224583,215.0,94.0
72,33,80.6156284867371,0,51.51280034375685,-116.1791905633178,0.0104375,33,44.0,51.5,-116.25,0.0625,44,0.010120486111111,0.96962741184299,0.161927777777779,0.96962741184299,0.183384243690211,215.0,94.0
73,33,80.6156284867371,0,51.51280034375685,-116.1791905633178,0.0104375,33,51.0,51.5,-116.0,0.0625,51,0.000317013888889,0.03037258815701,0.005072222222221,0.03037258815701,0.010014368919257,216.0,94.0
74,34,14.547657339155206,0,51.11326360480966,-115.67752107350933,0.001867361111111,34,59.0,51.25,-115.75,0.0625,59,0.000232638888889,0.12458162885845,0.003722222222226,0.12458162885845,0.004507716942293,217.0,95.0
75,34,14.547657339155206,0,51.11326360480966,-115.67752107350933,0.001867361111111,34,60.0,51.0,-115.75,0.0625,60,0.001634722222222,0.87541837114155,0.026155555555552,0.87541837114155,0.076907997909038,217.0,96.0
76,35,26.894711333089166,0,51.20475925182362,-115.57700428294183,0.003459027777778,35,66.0,51.25,-115.5,0.0625,66,0.003459027777778,1.0,0.055344444444442,1.0,0.348681332143273,218.0,95.0
77,36,8.979954945136939,0,51.145288982540734,-115.67396698775853,0.001153472222222,36,59.0,51.25,-115.75,0.0625,59,0.001153472222222,1.0,0.018455555555554,1.0,0.022350202510863,217.0,95.0
78,37,33.23130075101772,0,51.611690288291214,-116.31135193536264,0.004311805555556,37,44.0,51.5,-116.25,0.0625,44,0.003255555555555,0.755033016588722,0.052088888888882,0.755033016588722,0.058990999720011,215.0,94.0
79,37,33.23130075101772,0,51.611690288291214,-116.31135193536264,0.004311805555556,37,43.0,51.75,-116.25,0.0625,43,0.00105625,0.244966983411279,0.016900000000007,0.244966983411278,0.060203051712898,215.0,93.0
80,38,85.56274339216739,0,51.5233515605416,-116.28186915058072,0.011080555555555,38,44.0,51.5,-116.25,0.0625,44,0.011080555555555,1.0,0.177288888888887,1.0,0.2007808002416,215.0,94.0
81,39,9.518970433517712,0,51.44211625282167,-116.2007533860045,0.001230555555556,39,44.0,51.5,-116.25,0.0625,44,0.001230555555556,1.0,0.019688888888891,1.0,0.022297792556289,215.0,94.0
82,40,0.139727367688363,0,51.422788461538474,-116.18025641025643,1.8055555556e-05,40,44.0,51.5,-116.25,0.0625,44,1.8055555556e-05,1.0,0.000288888888889,1.0,0.000327168513806,215.0,94.0
83,41,8.364503786725496,0,51.40971990145674,-116.17702067266491,0.001080555555556,41,44.0,51.5,-116.25,0.0625,44,0.001080555555556,1.0,0.017288888888892,1.0,0.019579777210829,215.0,94.0
84,42,13.984263472768145,0,51.437952682801914,-116.1526981687797,0.001807638888889,42,45.0,51.25,-116.25,0.0625,45,1.8402777778e-05,0.01018056089129,0.000294444444445,0.01018056089129,0.001409743187351,215.0,95.0
85,42,13.984263472768145,0,51.437952682801914,-116.1526981687797,0.001807638888889,42,44.0,51.5,-116.25,0.0625,44,0.001789236111111,0.98981943910871,0.028627777777777,0.98981943910871,0.032421141377693,215.0,94.0
86,43,29.01825503149769,0,51.391795156906404,-116.12433098591545,0.003747222222222,43,51.0,51.5,-116.0,0.0625,51,0.0019578125,0.522470348406279,0.031325000000002,0.522470348406279,0.061846680340908,216.0,94.0
87,43,29.01825503149769,0,51.391795156906404,-116.12433098591545,0.003747222222222,43,44.0,51.5,-116.25,0.0625,44,0.001008159722222,0.269041882876275,0.016130555555559,0.269041882876274,0.018267957304513,215.0,94.0
88,43,29.01825503149769,0,51.391795156906404,-116.12433098591545,0.003747222222222,43,45.0,51.25,-116.25,0.0625,45,0.000666840277777,0.177955893254179,0.010669444444439,0.177955893254178,0.051083241345351,215.0,95.0
89,43,29.01825503149769,0,51.391795156906404,-116.12433098591545,0.003747222222222,43,52.0,51.25,-116.0,0.0625,52,0.000114409722222,0.030531875463268,0.001830555555553,0.030531875463268,0.002332528687622,216.0,95.0
90,44,28.68860144294877,0,51.35101469668548,-116.10112398373983,0.003701388888889,44,51.0,51.5,-116.0,0.0625,51,0.000518055555556,0.139962476547886,0.008288888888891,0.139962476547886,0.016365211859299,216.0,94.0
91,44,28.68860144294877,0,51.35101469668548,-116.10112398373983,0.003701388888889,44,45.0,51.25,-116.25,0.0625,45,0.000589583333333,0.159287054408989,0.009433333333332,0.159287054408989,0.04516497985131,215.0,95.0
92,44,28.68860144294877,0,51.35101469668548,-116.10112398373983,0.003701388888889,44,52.0,51.25,-116.0,0.0625,52,0.00259375,0.700750469043124,0.041499999999998,0.700750469043125,0.052880088912169,216.0,95.0
93,45,113.253720010744,0,51.30871166714242,-116.01815839755173,0.014598611111111,45,52.0,51.25,-116.0,0.0625,52,0.014521527777778,0.994719817334221,0.232344444444444,0.99471981733422,0.296057707963163,216.0,95.0
94,45,113.253720010744,0,51.30871166714242,-116.01815839755173,0.014598611111111,45,45.0,51.25,-116.25,0.0625,45,2.8819444444e-05,0.001974122348015,0.000461111111111,0.001974122348015,0.002207711029245,215.0,95.0
95,45,113.253720010744,0,51.30871166714242,-116.01815839755173,0.014598611111111,45,51.0,51.5,-116.0,0.0625,51,4.8263888889e-05,0.003306060317764,0.000772222222223,0.003306060317764,0.001524641051235,216.0,94.0
96,46,62.58661212739475,0,51.267797449814736,-115.89569548548282,0.008060416666667,46,59.0,51.25,-115.75,0.0625,59,0.001996527777778,0.247695356250529,0.031944444444443,0.247695356250529,0.038685630474855,217.0,95.0
97,46,62.58661212739475,0,51.267797449814736,-115.89569548548282,0.008060416666667,46,52.0,51.25,-116.0,0.0625,52,0.006063888888889,0.752304643749472,0.097022222222223,0.752304643749471,0.123627559941388,216.0,95.0
98,47,12.53572247848998,0,51.231533936002265,-115.83923518438783,0.001613194444444,47,52.0,51.25,-116.0,0.0625,52,0.000104861111111,0.06500215238917,0.001677777777778,0.06500215238917,0.002137856338886,216.0,95.0
99,47,12.53572247848998,0,51.231533936002265,-115.83923518438783,0.001613194444444,47,59.0,51.25,-115.75,0.0625,59,0.001508333333333,0.93499784761083,0.024133333333332,0.93499784761083,0.029226152831786,217.0,95.0
100,48,120.12561692984607,0,51.194884720286446,-115.75492915374124,0.015446527777778,48,59.0,51.25,-115.75,0.0625,59,0.015446527777778,1.0,0.247144444444446,1.0,0.299298949096434,217.0,95.0
101,49,18.72742536069085,0,51.17266565685709,-115.64982568763249,0.002406944444444,49,66.0,51.25,-115.5,0.0625,66,2.777777778e-06,0.001154068090019,4.4444444445e-05,0.001154068090019,0.000280009100296,218.0,95.0
102,49,18.72742536069085,0,51.17266565685709,-115.64982568763249,0.002406944444444,49,59.0,51.25,-115.75,0.0625,59,0.002402777777778,0.998268897864984,0.038444444444444,0.998268897864983,0.046557315284522,217.0,95.0
103,49,18.72742536069085,0,51.17266565685709,-115.64982568763249,0.002406944444444,49,60.0,51.0,-115.75,0.0625,60,1.388888889e-06,0.000577034044998,2.2222222222e-05,0.000577034044998,6.5342394144e-05,217.0,96.0
104,50,11.788642878306794,0,51.17700427742134,-115.61300336083103,0.001515277777778,50,66.0,51.25,-115.5,0.0625,66,0.001166319444444,0.769706691109058,0.018661111111111,0.769706691109059,0.117568820986679,218.0,95.0
105,50,11.788642878306794,0,51.17700427742134,-115.61300336083103,0.001515277777778,50,59.0,51.25,-115.75,0.0625,59,0.000348958333333,0.230293308890941,0.005583333333334,0.230293308890941,0.006761575413432,217.0,95.0
106,51,6.241354829974287,0,51.16759235209232,-115.57361832611839,0.000802083333333,51,66.0,51.25,-115.5,0.0625,66,0.000802083333333,1.0,0.012833333333334,1.0,0.080852627710406,218.0,95.0
